Ligne;Annee;Mois;Loyer;LoyerPercu;LoyerAnnuel;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;
0;;7;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
1;2011;8;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
2;2011;9;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
3;2011;10;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
4;2011;11;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
5;2011;12;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
6;2011;1;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
7;2012;2;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
8;2012;3;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
9;2012;4;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
10;2012;5;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7000;0;0;;0;0;;;0;;0;
11;2012;6;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7700;0;0;;0;0;;;0;;0;
12;2012;7;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7700;0;0;;0;0;;;0;;0;
13;2012;8;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7700;0;0;;0;0;;;0;;0;
14;2012;9;;;;;;;;;;;0;;;0;0;0;0;0;0;0;0;;7700;0;0;;0;0;;;0;;0;
15;2012;09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
