Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;NbPartsFiscales;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;8;2017;0;0;0;176900;277,14;;884,89;;32,43;;20,83;;;42,5;42,5;0;0;0;0;452,38;0;;25025;;0;;141,67;141,67;;;10;;-1132,32;-1132,32;1200;8/2117;1;2085,42;14;0;0;524,57;9472,19;0;0;0;0;0;;;;;;;;2085,42;;;;;
1;9;2017;0;0;0;176292,25;276,19;;884,89;;32,43;;20,83;;;42,5;85;0;0;0;0;903,94;0;;25025;;0;;141,67;283,34;;;10;;-1132,32;-2264,64;1200;9/2117;1;2085,42;14;0;0;523,62;9544,25;0;0;0;0;0;;;;;;;;2085,42;;;;;
2;10;2017;0;0;0;175683,55;275,24;;884,89;;32,43;;20,83;;;42,5;127,5;0;0;0;0;1354,68;0;;25025;;0;;141,67;425,01;;;10;;-1132,32;-3396,96;1200;10/2117;1;2085,42;14;0;0;522,67;9616,18;0;0;0;0;0;;;;;;;;2085,42;;;;;
3;11;2017;0;0;0;175073,9;274,28;;884,89;;32,43;;20,83;;;42,5;170;0;0;0;0;1804,6;0;;25025;;0;;141,67;566,68;;;10;;-1132,32;-4529,28;1200;11/2117;1;2085,42;14;0;0;521,71;9687,97;0;0;0;0;0;;;;;;;;2085,42;;;;;
4;12;2017;0;0;0;174463,29;273,33;;884,89;;32,43;;20,83;;;42,5;212,5;0;0;0;0;2293,7;0;;25025;;0;;141,67;708,35;;;10;;-1132,32;-5661,6;1200;0/2118;1;2085,42;14;0;0;520,76;9759,63;0;0;0;0;0;;;;;;;;2085,42;;;;;
5;1;2018;0;0;0;173851,73;272,37;;884,89;;32,43;;20,83;;;42,5;85;0;0;0;0;2741,97;0;;25025;;0;;141,67;283,34;;;10;;-1132,32;-6793,92;1200;1/2118;1;2085,42;14;0;0;519,8;9831,16;0;0;0;0;0;;;;;;;;2085,42;;;;;
6;2;2018;0;0;0;173239,21;271,41;;884,89;;32,43;;20,83;;;42,5;127,5;0;0;0;0;3189,41;0;;25025;;0;;141,67;425,01;;;10;;-1132,32;-7926,24;1200;2/2118;1;2085,42;14;0;0;518,84;9902,56;0;0;0;0;0;;;;;;;;2085,42;;;;;
7;3;2018;0;0;0;172625,73;270,45;;884,89;;32,43;;20,83;;;42,5;170;0;0;0;0;3636,02;0;;25025;;0;;141,67;566,68;;;10;;-1132,32;-9058,56;1200;3/2118;1;2085,42;14;0;0;517,88;9973,83;0;0;0;0;0;;;;;;;;2085,42;;;;;
8;4;2018;303,6;278,3;275;172011,29;269,48;;884,89;;32,43;;20,83;;;42,5;212,5;0;0;0;0;4081,8;0;;25025;;0;;141,67;708,35;;;10;;-854,02;-9912,58;1200;4/2118;1;2082,12;14;0;0;516,91;10191,36;670,14;54,17;0;0;0;;;;;;;;2082,12;;;;;
9;5;2018;863,236;791,3;781,92;171395,88;268,52;;884,89;;32,43;;20,83;;;42,5;255;0;0;0;0;4526,75;0;;25025;;0;;141,67;850,02;;;10;;-341,02;-10253,6;1200;5/2118;1;2085,42;14;0;0;515,95;10130,45;670,14;54,17;0;0;0;;;;;;;;2085,42;;;;;
