Ligne;Mois;Annee;Loyer;LoyerPercu;LoyerImposable;CapitalRestantDu;Interets;InteretsAnnuels;Mensualite;MensualiteAnnuelle;AssurancePret;AssurantePretAnnuelle;AssurancePNO;EvolPNO;AssurancePNUAnnuelle;AssuranceGRL;AssuranceGRLAnnuelle;AssuranceCopro;AssuranceCoproAnnuelle;ChargesCopro;ChargesCoproAnnuelle;ChargesIndividuel;AutresCharges;AutresChargesAnnuelles;AutresRevenus;ChargesSCI;FraisAgence;FraisAgenceAnnuel;TaxeFonciere;TaxeFonciereAnnuelle;TravauxRenovation;TravauxRenovationAnnuel;TravauxEntretien;TravauxEntretienAnnuel;Tresorerie;Tresorerie Cumulee;DureeRestanteAnticipeIndiv;DateRemAnticipeIndiv;DateRemAnticipeIndivCalc;NbPartsFiscales;MontantImposableIndiv;Régime fiscal indiv;TotalImposable;TxImpots;MontantImpots;MontantCSG;ChargesDeductiblesCommunes;ChargesLMNP;AmortiBati;AmortiMeubles;TravauxRenovDeduc;TravauxRenovNonDeduc;MontantImposableSCI;ImpotsSCI;TresorerieSCI;DividendeVerse;TresorerieSCIRestante;TresorerieSCIRestanteCumulee;DureeRestanteAnticipeSCI;DateRemAnticipeSCI;DateRemAnticipeSCICalculee;TotalImposable;TxImpotsAssocie;ImpotsAssocie;CSGAssocie;DividendeNetAssocie;
0;2;2019;0;0;0;208200;277,6;;1014,26;;52,05;;33,33;;;38,33;38,33;0;0;0;0;462,9;0;;2166,67;;0;;141,67;141,67;;;12,5;;-1292,14;-1292,14;1200;Février 2119;25430;1;0;NC;2166,67;14;0;0;555,48;18292,58;0;0;0;0;0;;;;;;;;;2166,67;;;;;
1;3;2019;0;0;0;207463,34;276,62;;1014,26;;52,05;;33,33;;;38,33;76,66;0;0;0;0;924,98;0;;2166,67;;0;;141,67;283,34;;;12,5;;-1292,14;-2584,28;1200;Mars 2119;25431;1;0;NC;2166,67;14;0;0;554,5;18385;0;0;0;0;0;;;;;;;;;2166,67;;;;;
2;4;2019;0;0;0;206725,7;275,63;;1014,26;;52,05;;33,33;;;38,33;114,99;0;0;0;0;1386,24;0;;2166,67;;0;;141,67;425,01;;;12,5;;-1292,14;-3876,42;1200;Avril 2119;25432;1;0;NC;2166,67;14;0;0;553,51;18477,25;0;0;0;0;0;;;;;;;;;2166,67;;;;;
3;5;2019;0;0;0;205987,07;274,65;;1014,26;;52,05;;33,33;;;38,33;153,32;0;0;0;0;1846,68;0;;2166,67;;0;;141,67;566,68;;;12,5;;-1292,14;-5168,56;1200;Mai 2119;25433;1;0;NC;2166,67;14;0;0;552,53;18569,34;0;0;0;0;0;;;;;;;;;2166,67;;;;;
4;6;2019;0;0;0;205247,46;273,66;;1014,26;;52,05;;33,33;;;38,33;191,65;0;0;0;0;2306,3;0;;2166,67;;0;;141,67;708,35;;;12,5;;-1292,14;-6460,7;1200;Juin 2119;25434;1;0;NC;2166,67;14;0;0;551,54;18661,26;0;0;0;0;0;;;;;;;;;2166,67;;;;;
5;7;2019;0;0;0;204506,86;272,68;;1014,26;;52,05;;33,33;;;38,33;229,98;0;0;0;0;2765,1;0;;2166,67;;0;;141,67;850,02;;;12,5;;-1292,14;-7752,84;1200;Juillet 2119;25435;1;0;NC;2166,67;14;0;0;550,56;18753,02;0;0;0;0;0;;;;;;;;;2166,67;;;;;
6;8;2019;2240;1866,67;1866,67;203765,28;271,69;;1014,26;;52,05;;33,33;;;38,33;268,31;0;0;0;0;3223,08;0;;2166,67;;0;;141,67;991,69;;;12,5;;574,53;-7178,31;1200;Aout 2119;25436;1;0;NC;2166,67;14;0;0;549,57;18997,4;666,67;41,67;0;0;0;;;;;;;;;2166,67;;;;;
7;9;2019;2240;1866,67;1866,67;203022,71;270,7;;1014,26;;52,05;;33,33;;;38,33;306,64;0;0;0;0;2613,56;0;;2166,67;;0;;141,67;1133,36;;;12,5;;574,53;-6603,78;1200;Septembre 2119;25437;1;0;NC;2166,67;14;0;0;548,58;18441,61;666,67;41,67;0;0;0;;;;;;;;;2166,67;;;;;
8;10;2019;2240;1866,67;1866,67;202279,15;269,71;;1014,26;;52,05;;33,33;;;38,33;344,97;0;0;0;0;2003,22;0;;2166,67;;0;;141,67;1275,03;;;12,5;;574,53;-6029,25;1200;Octobre 2119;25438;1;0;NC;2166,67;14;0;0;547,59;17885,66;666,67;41,67;0;0;0;;;;;;;;;2166,67;;;;;
9;11;2019;2240;1866,67;1866,67;201534,6;268,71;;1014,26;;52,05;;33,33;;;38,33;383,3;0;0;0;0;1392,04;0;;2166,67;;0;;141,67;1416,7;;;12,5;;574,53;-5454,72;1200;Novembre 2119;25439;1;0;NC;2166,67;14;0;0;546,59;17329,54;666,67;41,67;0;0;0;;;;;;;;;2166,67;;;;;
10;12;2019;2240;1866,67;1866,67;200789,05;267,72;;1014,26;;52,05;;33,33;;;38,33;421,63;0;0;0;0;820,04;0;;2166,67;;0;;141,67;1558,37;;;12,5;;574,53;-4880,19;1200;Décembre 2120;25452;1;246,63;NC;2166,67;14;0;0;545,6;16773,26;666,67;41,67;0;0;0;;;;;;;;;2166,67;;;;;
